species	group	genome_size	hcn	map_length	sexual_system	size	num_markers	parpath	data_source	genus	log10_size
Kryptolebias marmoratus	animal	0.680367	24	12.48	NA	0.024	9904	FALSE	Stapley et al (2017)	Kryptolebias	-1.6197887582883939
Labeo rohita	animal	1.95	25	13.738	NA	0.5	3193	FALSE	Stapley et al (2017)	Labeo	-0.3010299956639812
Lactuca sativa	plant	2.5917	9	29.74	NA	0.9	NA	FALSE	Stapley et al (2017)	Lactuca	-0.045757490560675115
Larimichthys crocea	animal	0.678938	24	54.513000000000005	NA	0.6	10150	FALSE	Stapley et al (2017)	Larimichthys	-0.2218487496163564
Larix kaempferi	plant	9.291	12	5.465	NA	0.3	NA	FALSE	Stapley et al (2017)	Larix	-0.5228787452803376
Lates calcarifer	animal	0.6846	24	14.129000000000001	hermaphrodite	1.5	8274	FALSE	Stapley et al (2017)	Lates	0.17609125905568124
Lens culinaris	plant	4.107600000000001	7	24.296100000000003	NA	0.4	NA	FALSE	Stapley et al (2017)	Lens	-0.3979400086720376
Lepomis macrochirus	animal	0.98778	24	15.7675	NA	0.191	219	FALSE	Stapley et al (2017)	Lepomis	-0.7189666327522725
Leptinotarsa decemlineata	animal	0.44988	18	10.32	gonochorous	0.01	182	FALSE	Stapley et al (2017)	Leptinotarsa	-2
Linum usitatissimum	plant	0.6846	15	11.51	NA	1.2	NA	FALSE	Stapley et al (2017)	Linum	0.07918124604762482
Litopenaeus vannamei	animal	2.64	44	42.7143	gonochorous	0.23	6359	FALSE	Stapley et al (2017)	Litopenaeus	-0.638272163982407
Lolium multiflorum	plant	2.66016	7	4.888	NA	0.9	NA	FALSE	Stapley et al (2017)	Lolium	-0.045757490560675115
Lolium perenne	plant	2.365782	7	9.526	NA	0.9	NA	FALSE	Stapley et al (2017)	Lolium	-0.045757490560675115
Lotus japonicus	plant	0.46944	6	5.085	NA	NA	NA	FALSE	Stapley et al (2017)	Lotus	NA
Lucania goodei	animal	1.319322	24	3.92	gonochorous	0.029	915	FALSE	Stapley et al (2017)	Lucania	-1.537602002101044
Lucania parva	animal	1.391694	23	6.05	gonochorous	0.037	766	FALSE	Stapley et al (2017)	Lucania	-1.431798275933005
Luffa acutangula	plant	0.8313	13	14.361199999999998	NA	7.5	NA	FALSE	Stapley et al (2017)	Luffa	0.8750612633917001
Lupinus albus	plant	0.5868	25	21.69	NA	1.2	NA	FALSE	Stapley et al (2017)	Lupinus	0.07918124604762482
Lupinus angustifolius	plant	1.153	20	16.299	NA	0.135	NA	FALSE	Stapley et al (2017)	Lupinus	-0.8696662315049939
Macaca mulatta	animal	3.29097	22	20.48	gonochorous	0.500380001	241	FALSE	Stapley et al (2017)	Macaca	-0.30070005635053965
Macropus eugenii	animal	1.153	7	14.024000000000001	gonochorous	0.605	148	FALSE	Stapley et al (2017)	Macropus	-0.2182446253475311
Magnaporthe grisea	fungi	0.042711	7	12.47	NA	NA	NA	TRUE	Stapley et al (2017)	Magnaporthe	NA
Malus domestica	plant	1.87477	17	12.67	NA	9	NA	FALSE	Stapley et al (2017)	Malus	0.9542425094393249
Malus sieversii	plant	0.7335	17	12.9967	NA	10	NA	FALSE	Stapley et al (2017)	Malus	1
Malus pumila	plant	0.75306	17	14.8172	NA	7	NA	FALSE	Stapley et al (2017)	Malus	0.8450980400142568
Mangifera indica	plant	0.4401	20	31.4828	NA	45	NA	FALSE	Stapley et al (2017)	Mangifera	1.6532125137753437
Manihot esculenta	plant	1.2225	18	24.12	NA	2.4384	NA	FALSE	Stapley et al (2017)	Manihot	0.3871049496595065
Marsupenaeus japonicus	animal	2.76774	43	36.109	gonochorous	0.17	24444	FALSE	Stapley et al (2017)	Marsupenaeus	-0.769551078621726
Medicago sativa	plant	1.27629	32	21.33	NA	1	NA	FALSE	Stapley et al (2017)	Medicago	0
Medicago truncatula	plant	0.46944	8	12.15	NA	0.35	NA	FALSE	Stapley et al (2017)	Medicago	-0.4559319556497244
Melampsora lini	fungi	0.170172	18	58.6	NA	NA	NA	TRUE	Stapley et al (2017)	Melampsora	NA
Meleagris gallopavo	animal	1.43114	32	23.24	gonochorous	0.9906	570	FALSE	Stapley et al (2017)	Meleagris	-0.0041016763535627184
